long,lat,q_ps_test_data,q_ps_predicted,residual
-126.5743,48.1706,197.81017418377,197.83748831853376,-0.027314134763770426
-128.5828,47.9122,437.77934178494,437.7745804761891,0.00476130875091485
-128.6467,48.4633,508.22227635983,509.45347590247854,-1.2311995426485396
-127.7869,47.709,262.38779189237,262.38263610736965,0.005155785000340529
-128.5852,47.8967,437.77934178494,437.7745804761891,0.00476130875091485
-127.811,47.7163,262.38779189237,262.6723206604645,-0.28452876809450345
-127.777,47.716,262.38779189237,262.38263610736965,0.005155785000340529
-126.909,48.6442,209.53524517387,209.51249404726823,0.022751126601775695
-128.64,48.48,508.22227635983,508.538944314295,-0.31666795446500373
-126.586,48.165,197.81017418377,197.86214812574084,-0.05197394197085714
-128.49,48.4633,447.89153219187,448.3397476000078,-0.4482154081377985
-128.64,48.4467,465.29943271476,465.1277290138614,0.17170370089854714
-128.587,47.9408,437.77934178494,437.8004199768093,-0.02107819186926463
-128.66,48.44,531.15760845266,531.1617371023644,-0.004128649704398413
-127.791,47.7164,262.38779189237,262.38263610736965,0.005155785000340529
-128.6733,48.39,531.15760845266,531.1566858552917,0.0009225973683442135
-128.71,48.47,615.10439485193,615.1109786083349,-0.006583756404893393
-128.6809,48.4322,531.15760845266,531.1566858552917,0.0009225973683442135
-127.758,47.7199,262.38779189237,262.38263610736965,0.005155785000340529
-128.6835,48.4312,531.15760845266,531.1566858552917,0.0009225973683442135
-128.66,48.45,615.10439485193,615.0571223852892,0.047272466640833954
-128.8213,47.9197,581.09921225716,581.2971895662713,-0.197977309111252
-128.6683333,48.82,470.27122961878,466.5145531262241,3.7566764925559255
-127.2657,47.7583,229.06340145183,229.05761684472535,0.005784607104658335
-128.6317,48.42,465.29943271476,465.33026512220755,-0.030832407447576315
-128.71,48.46,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.583,47.9122,437.77934178494,437.7745804761891,0.00476130875091485
-128.583,47.9493,437.77934178494,438.1047497045745,-0.3254079196344719
-128.6233,48.4567,508.22227635983,508.2083255944869,0.013950765343111016
-129.089,47.9523,2753.9345346423,2754.294967503661,-0.36043286136100505
-128.705,48.4567,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.7817,48.5117,807.68141835452,808.1502100575871,-0.46879170306704054
-128.7067,48.455,615.10439485193,615.1045832708113,-0.0001884188812937282
