lon,lat,grav,age,q,ps_q,stein_q,z_ps,z_stein,bathy
-132.8833364,44.63333423,-16.59580994,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3720.000678
-132.8833364,44.75000089,-14.33636284,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3716.498092
-132.8833364,44.86666756,-18.94571495,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3740.502701
-132.8833364,44.98333423,-22.34873199,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3762.999845
-132.8833364,45.1000009,-18.313797,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3703.997652
-132.8833364,45.21666757,-13.15880966,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3693.001104
-132.8833364,45.33333424,-12.71963882,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3693.503517
-132.8833364,45.45000091,-10.29013824,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3670.501757
-132.8833364,45.56666758,-14.47190952,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3665.000875
-132.8833364,45.68333425,-15.33364487,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3619.504822
-132.8833364,45.80000092,-16.98463058,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3763.009466
-132.8833364,45.91666758,-21.07731056,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3777.000001
-132.8833364,46.03333425,-20.88585854,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3762.998087
-132.8833364,46.15000092,-18.32994843,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3802.496107
-132.8833364,46.26666759,-13.69139767,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3546.023448
-132.8833364,46.38333426,-21.55783463,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3797.510476
-132.8833364,46.50000093,-15.54755211,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3583.501244
-132.8833364,46.6166676,-12.0085907,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3495.992421
-132.8833364,46.73333427,-10.51422691,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3547.491618
-132.8833364,46.85000094,-9.524895668,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3521.49866
-132.8833364,46.96666761,-10.15225601,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3503.99902
-132.8833364,47.08333427,-10.99440384,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3520.501559
-132.8833364,47.20000094,-10.7306881,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3492.501161
-132.8833364,47.31666761,-2.594922781,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3363.504522
-132.8833364,47.43333428,-3.153112411,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3285.004241
-132.8833364,47.55000095,-7.18272686,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3292.501908
-132.8833364,47.66666762,-2.895017385,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3243.997984
-132.8833364,47.78333429,-18.85474396,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3380.000844
-132.8833364,47.90000096,-14.14923573,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3475.503391
