long,lat,bathy
-127.04375,45.02291667,-2842
-127.0395833,45.02291667,-2842
-127.0354167,45.02291667,-2842
-127.03125,45.02291667,-2842
-127.0270833,45.02291667,-2842
-127.0229167,45.02291667,-2842
-127.01875,45.02291667,-2843
-127.0145833,45.02291667,-2843
-127.0104167,45.02291667,-2843
-127.00625,45.02291667,-2843
-127.0020833,45.02291667,-2843
-127.4979167,45.02708333,-2971
-127.49375,45.02708333,-2971
-127.4895833,45.02708333,-2973
-127.4854167,45.02708333,-2973
-127.48125,45.02708333,-2974
-127.4770833,45.02708333,-2974
-127.4729167,45.02708333,-2969
-127.46875,45.02708333,-2967
-127.4645833,45.02708333,-2973
-127.4604167,45.02708333,-2976
-127.45625,45.02708333,-2975
-127.4520833,45.02708333,-2976
-127.4479167,45.02708333,-2976
-127.44375,45.02708333,-2976
-127.4395833,45.02708333,-2976
-127.4354167,45.02708333,-2976
-127.43125,45.02708333,-2974
-127.4270833,45.02708333,-2974
-127.4229167,45.02708333,-2969
-127.41875,45.02708333,-2960
-127.4145833,45.02708333,-2957
-127.4104167,45.02708333,-2943
-127.40625,45.02708333,-2937
-127.4020833,45.02708333,-2930
-127.3979167,45.02708333,-2921
-127.39375,45.02708333,-2915
-127.3895833,45.02708333,-2912
-127.3854167,45.02708333,-2910
-127.38125,45.02708333,-2907
-127.3770833,45.02708333,-2901
-127.3729167,45.02708333,-2898
-127.36875,45.02708333,-2898
-127.3645833,45.02708333,-2898
-127.3604167,45.02708333,-2897
-127.35625,45.02708333,-2897
-127.3520833,45.02708333,-2897
-127.3479167,45.02708333,-2884
-127.34375,45.02708333,-2900
-127.3395833,45.02708333,-2902
-127.3354167,45.02708333,-2904
-127.33125,45.02708333,-2910
-127.3270833,45.02708333,-2925
-127.3229167,45.02708333,-2938
-127.31875,45.02708333,-2971
-127.3145833,45.02708333,-3046
-127.3104167,45.02708333,-3055
-127.30625,45.02708333,-3057
-127.3020833,45.02708333,-3057
-127.2979167,45.02708333,-3056
-127.29375,45.02708333,-3043
-127.2895833,45.02708333,-2997
-127.2854167,45.02708333,-2925
-127.28125,45.02708333,-2924
-127.2770833,45.02708333,-2916
-127.2729167,45.02708333,-2914
-127.26875,45.02708333,-2910
-127.2645833,45.02708333,-2908
-127.2604167,45.02708333,-2905
-127.25625,45.02708333,-2903
-127.2520833,45.02708333,-2902
-127.2479167,45.02708333,-2900
-127.24375,45.02708333,-2897
-127.2395833,45.02708333,-2897
-127.2354167,45.02708333,-2895
-127.23125,45.02708333,-2894
-127.2270833,45.02708333,-2892
-127.2229167,45.02708333,-2890
-127.21875,45.02708333,-2889
-127.2145833,45.02708333,-2889
-127.2104167,45.02708333,-2886
-127.20625,45.02708333,-2886
-127.2020833,45.02708333,-2884
-127.1979167,45.02708333,-2882
-127.19375,45.02708333,-2882
-127.1895833,45.02708333,-2880
-127.1854167,45.02708333,-2880
-127.18125,45.02708333,-2865
-127.1770833,45.02708333,-2865
-127.1729167,45.02708333,-2864
-127.16875,45.02708333,-2863
-127.1645833,45.02708333,-2863
-127.1604167,45.02708333,-2862
-127.15625,45.02708333,-2861
-127.1520833,45.02708333,-2860
-127.1479167,45.02708333,-2859
-127.14375,45.02708333,-2858
-127.1395833,45.02708333,-2857
-127.1354167,45.02708333,-2856
-127.13125,45.02708333,-2855
-127.1270833,45.02708333,-2854
-127.1229167,45.02708333,-2853
-127.11875,45.02708333,-2853
-127.1145833,45.02708333,-2853
-127.1104167,45.02708333,-2853
-127.10625,45.02708333,-2853
-127.1020833,45.02708333,-2852
-127.0979167,45.02708333,-2852
-127.09375,45.02708333,-2851
-127.0895833,45.02708333,-2848
-127.0854167,45.02708333,-2846
