lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,bathy
50.02,-126.78,6.2185445,39.3,189.7213847,204.5152997,31.4454155,3372.795338,3510.200852,708
47.51,-121.35,9.7773581,57,151.3038218,163.1020483,37.97489548,3594.406856,3741.310007,858
47.51,-121.35,9.7773581,57,151.3038218,163.1020483,37.97489548,3594.406856,3741.310007,858
47.68,-121.65,9.7773581,60,151.3038218,163.1020483,-14.65313625,3594.406856,3741.310007,1142
47.68,-121.65,9.7773581,60,151.3038218,163.1020483,-14.65313625,3594.406856,3741.310007,1142
47.49,-121.4,9.7773581,56,151.3038218,163.1020483,6.328667641,3594.406856,3741.310007,613
42.2,-121.83,8.7200031,67,160.214692,172.707762,-2.806406498,3533.537798,3677.832275,1275
48.46,-122.63,9.2849312,37,155.2641943,167.371239,-59.80167007,3566.491478,3712.198255,187
48.72,-119.59,9.57864,75,152.8652368,164.7852179,-29.2766819,3583.228231,3729.652298,563
46.35,-122.11,9.543684,69,153.1449335,165.0867244,62.2167778,3581.249874,3727.589154,880
46.36,-122.07,9.543684,68,153.1449335,165.0867244,51.13022995,3581.249874,3727.589154,1104
49,-119.49,9.57864,70,152.8652368,164.7852179,-79.61054993,3583.228231,3729.652298,1725
48.61,-120.38,9.57864,76,152.8652368,164.7852179,-21.74869537,3583.228231,3729.652298,1988
48.61,-120.39,9.57864,73,152.8652368,164.7852179,-21.74869537,3583.228231,3729.652298,1988
